name,minplayers,maxplayers,maxplaytime,minplaytime,yearpublished
12 Days,3,5,15,15,2011
5-Minute Marvel,2,5,5,5,2018
7 Wonders,2,7,30,30,2010
7 Wonders Duel,2,2,30,30,2015
7 Wonders: Architects,2,7,25,25,2021
Aargh!,2,4,20,20,2005
Abalone,2,2,30,30,1987
Abandon All Artichokes,2,4,20,20,2020
Abyss,2,4,60,30,2014
Acquire,2,6,90,90,1963
Adventure Land,2,4,45,45,2015
The Adventurers: The Temple of Chac,2,6,45,45,2009
Aeon's End: War Eternal,1,4,60,60,2017
Africana,2,4,60,60,2012
Airlines Europe,2,5,75,75,2011
Akropolis,1,4,30,20,2022
Akrotiri,2,2,45,45,2014
Aladdin's Dragons,3,5,90,60,2000
Alchemists,2,4,120,120,2014
Alea Iacta Est,2,5,60,60,2009
Alhambra,2,6,60,45,2003
Alien Frontiers,2,4,90,90,2010
Among the Stars,2,4,30,30,2012
Das Amulett,3,6,60,60,2001
Anima: Shadow of Omega,2,5,60,60,2006
Animals on Board,2,4,30,15,2016
Anomia,3,6,30,30,2010
Apples to Apples,4,10,30,20,1999
Arboretum,2,4,30,30,2015
Arcane Academy,2,4,45,30,2016
Archaeology: The Card Game,2,4,20,20,2007
Archaeology: The New Expedition,2,5,30,20,2016
Architects of the West Kingdom,1,5,80,60,2018
Arena: Roma II,2,2,45,30,2009
"Artifacts, Inc.",2,4,60,60,2014
Asante,2,2,40,40,2013
Ascension: Storm of Souls,1,4,30,30,2011
At the Gates of Loyang,1,4,120,60,2009
Atlantis Rising,2,6,90,30,2012
Automania,2,4,90,60,2015
Azul,2,4,45,30,2017
Bacchus' Banquet,3,5,30,30,2008
Back to the Future: Back in Time,2,4,50,50,2020
Bad Company,1,6,30,30,2021
Bag of Chips,2,5,20,15,2021
Bandido,1,4,15,10,2016
BANG!,4,7,40,20,2002
BANG! The Dice Game,3,8,15,15,2013
BANG! The Dice Game,3,8,15,15,2013
Barbarossa,3,4,60,60,1988
Bargain Quest,2,6,60,30,2017
BasketBoss,2,5,50,50,2009
Battle Line,2,2,30,30,2000
Battle Merchants,2,4,120,120,2014
BattleCON: Fate of Indines,2,2,60,30,2015
Beasty Bar,2,4,20,20,2014
Beer!,2,6,0,0,2001
Belratti,3,7,25,25,2018
Betrayal at House on the Hill,3,6,60,60,2004
Between Two Cities,1,7,25,25,2015
Biblios,2,4,30,30,2007
Black Friday,2,5,55,55,2010
Blokus,2,4,20,20,2000
Blood Bound,6,12,30,30,2013
Blood Rage,2,4,90,60,2015
Bloodborne: The Card Game,3,5,45,30,2016
The Bloody Inn,1,4,60,30,2015
Blueprints,2,4,30,30,2013
Blueprints,2,4,30,30,2013
Boggle,1,8,10,10,1972
Bohnanza,2,7,45,45,1997
Bomb Busters,2,5,30,30,2024
Boss Monster: The Dungeon Building Card Game,2,4,30,30,2013
Bosworth,2,4,60,60,1998
Botswana,2,5,30,20,1994
Brass: Birmingham,2,4,120,60,2018
Bridge Troll,3,6,45,45,2009
Broom Service,2,5,75,30,2015
Bruges,2,4,60,60,2013
Brynk,2,99,30,15,2016
Buccaneer Bones,1,4,15,15,2013
Bunny Kingdom,2,4,60,40,2017
"But Wait, There's More!",3,10,30,30,2011
Butterfly Garden,2,4,30,30,2012
BuyWord,1,4,45,45,2004
Ca$h 'n Gun$,4,6,30,30,2005
Ca$h 'n Gun$: Live,8,20,30,30,2007
Camel Up,2,8,30,20,2014
Can't Stop,2,4,30,30,1980
The Capitals,2,5,120,120,2013
Captain Sonar,2,8,60,45,2016
Carcassonne,2,5,45,30,2000
Carcassonne,2,5,45,30,2000
The Card Game of Oz,1,4,20,20,2014
Cartographers,1,100,45,30,2019
Cascadia,1,4,45,30,2021
Castell,2,4,90,60,2018
Castle Combo,2,5,25,10,2024
Castle Dice,1,4,45,45,2013
Castle Panic,1,6,60,30,2009
The Castles of Burgundy,2,4,90,30,2011
Castles of Mad King Ludwig,1,4,90,90,2014
Cat Packs,1,4,45,30,2024
Caylus,2,5,150,60,2005
Century: Golem Edition,2,5,45,30,2017
Challengers!,1,8,45,45,2022
The Chameleon,3,8,15,15,2017
Chateau Roquefort,2,4,30,30,2007
Chimera Station,2,4,90,60,2017
Chinese Checkers,2,6,30,30,1893
Chronicles of Crime: 1400,1,4,90,60,2020
Chronicles of Crime: 1900,1,4,90,60,2021
Cinque Terre,2,5,60,60,2013
Citadels,2,8,60,20,2000
Citadels,2,8,60,20,2000
Clank!: A Deck-Building Adventure,2,4,60,30,2016
Clans of Caledonia,1,4,120,30,2017
Clue: The Card Game,3,5,45,45,2002
Cockroach Poker Royal,2,6,25,15,2012
Codenames,2,8,15,15,2015
Coimbra,2,4,90,60,2018
Coin & Crown,1,4,60,45,2018
Colony,1,4,60,45,2016
Colt Express,2,6,40,40,2014
Concept,4,12,40,40,2013
Concordia,2,5,100,100,2013
Connect Four,2,2,10,10,1974
Copycat,2,4,95,95,2012
Cottage Garden,1,4,60,60,2016
Council of Verona (Second Edition),2,5,20,20,2014
Coup,2,6,15,15,2012
Coup: Rebellion G54,3,6,15,15,2014
Courtier,2,4,45,45,2012
Cranium,4,99,60,60,1998
Creature Caravan,1,4,90,60,2024
Creature Comforts,1,5,45,45,2022
Cretaceous Rails,1,4,120,30,2025
The Crew: The Quest for Planet Nine,2,5,20,20,2019
Crossfire,5,10,10,5,2017
Crusaders: Thy Will Be Done,2,4,60,40,2018
Cuckoo Zoo,2,10,20,20,2002
Cutthroat Caverns,3,6,90,90,2007
CV,2,4,60,60,2013
Dairyman,2,4,30,20,2016
Dead Cells: The Rogue-Lite Board Game,1,4,45,45,2024
Dead of Winter: A Crossroads Game,2,5,120,60,2014
Dead of Winter: The Long Night,2,5,120,60,2016
Deadwood,2,5,60,30,2011
Deception: Murder in Hong Kong,4,12,20,20,2014
Decrypto,3,8,45,15,2018
Defenders of the Realm,1,4,90,90,2010
Demon Worker,3,4,45,45,2016
Deus,2,4,90,60,2014
Diabolo,3,5,30,30,2006
Diamant,3,8,40,20,2005
Dice Forge,2,4,45,45,2017
Dice Manor,2,4,45,30,2023
Dice Town,2,5,45,45,2009
Discoveries: The Journals of Lewis & Clark,2,4,60,60,2015
Discworld: Ankh-Morpork,2,4,60,60,2011
Dive! Diver! Die!,3,5,45,45,2010
Dixit,3,6,30,30,2008
Dixit: Odyssey,3,12,30,30,2011
Dog Lover,2,4,30,30,2021
Dominion,2,4,30,30,2008
Dominion: Intrigue,2,6,30,30,2009
Don't Mess with Cthulhu Deluxe,4,8,30,1,2018
DONUTS,2,2,15,10,2023
Downforce,2,6,40,20,2017
Dr. Eureka,2,4,15,15,2015
Draftosaurus,2,5,15,15,2019
Dragon's Gold,3,6,45,45,2001
Dragonkeepers,2,4,20,20,2023
Drakon,2,6,20,20,2001
Dream Home,2,4,30,30,2016
Drop It,2,4,30,30,2018
Drum Roll,2,4,90,90,2011
Dungeon Fighter,1,6,60,45,2011
Dungeon Petz,2,4,90,90,2011
Dungeons & Dragons: Rock Paper Wizard,3,6,30,30,2016
Dutch Blitz,2,4,15,1,1960
The Dutch Golden Age,3,4,60,60,2008
Earth,1,5,90,45,2023
Eclipse: New Dawn for the Galaxy,2,6,180,60,2011
Ecos: First Continent,2,6,75,45,2019
Elder Sign,1,8,90,90,2011
Eldritch Horror,1,8,240,120,2013
Elfenland,2,6,60,60,1998
Elysium,2,4,60,60,2015
Eminent Domain: Microcosm,2,2,15,15,2014
Empire Builder,2,6,180,180,1982
Empire's End,2,4,60,45,2023
Endeavor: Age of Sail,2,5,90,60,2018
Entropy,2,6,15,15,2015
Eruption,2,6,60,30,2011
Escape from the Aliens in Outer Space,2,8,45,20,2010
Escape Room: The Game,3,5,60,60,2016
Ethnos,2,6,60,45,2017
Eurorails,2,6,240,180,1990
Evolution,2,6,60,60,2014
Evolution: Climate,2,6,60,60,2016
Expedition Altiplano,2,2,30,30,2006
Explorers of Navoria,2,4,80,40,2024
Fallout Shelter: The Board Game,2,4,90,60,2020
Family Business,2,6,30,30,1982
Fantastic Factories,1,5,60,45,2019
Fantasy Realms,2,6,20,20,2017
Fidelitas,1,4,30,30,2015
First Empires,2,5,60,45,2022
First Rat,1,5,75,30,2022
Fjords,1,2,30,30,2005
Flamecraft,1,5,60,60,2022
Flash Point: Fire Rescue,2,6,45,45,2011
Fleet,2,4,45,30,2012
Flip 7,3,18,20,20,2024
For Sale,3,6,30,30,1997
Forbidden Desert,2,5,45,45,2013
Forbidden Island,2,4,30,30,2010
Forest Shuffle,2,5,60,40,2023
Formula De,2,10,120,120,1997
Fortuna,2,4,60,60,2011
Fortune and Glory: The Cliffhanger Game,1,8,240,90,2011
The Fox Experiment,1,4,60,60,2023
Fractured Sky,1,5,75,45,2024
Friday,1,1,25,25,2011
Fromage,1,4,45,30,2024
Funfair,2,4,60,30,2021
Fury of Dracula (Third/Fourth Edition),2,5,180,120,2015
FUSE,1,5,10,10,2015
The Game,1,5,20,20,2015
Game of Thrones: The Iron Throne,3,5,60,30,2016
Gauner raus!,2,4,60,30,2016
Geek Out!,2,99,30,30,2013
Get Bit!,2,7,20,10,2007
Get on Board: New York & London,2,5,30,30,2022
Ghost Blitz,2,8,20,20,2010
Ghost Stories,1,4,60,60,2008
Ghosts Love Candy Too,2,6,45,20,2022
Give Me the Brain!,3,8,15,15,1996
Gizmos,2,4,50,40,2018
Glass Road,1,4,80,20,2013
Gloom,2,5,60,60,2005
The Gnomes of Zavandor,2,4,90,60,2011
Going Postal,3,6,15,10,2019
"Going, Going, GONE!",2,6,20,20,2013
Good Cop Bad Cop,4,8,20,10,2014
Grand Austria Hotel,2,4,120,60,2015
The Grand Carnival,1,4,60,45,2020
El Grande: Decennial Edition,2,5,90,90,2006
The Great Split,2,7,45,45,2022
The Grizzled,2,5,30,30,2015
The Guild of Merchant Explorers,1,4,45,45,2022
Guildhall,2,4,45,30,2012
Guillotine,2,5,30,30,1998
Habitats,1,5,50,30,2016
Hail Hydra,5,8,75,40,2018
Halli Galli,2,6,10,10,1990
Halloween Party,3,6,20,20,2004
Hanabi,2,5,25,25,2010
Hanamikoji,2,2,15,15,2013
Hansa Teutonica: Big Box,3,5,90,45,2020
Happy Salmon,3,8,2,2,2016
Harbour,1,4,60,30,2015
Hardback,1,5,90,45,2018
Le Havre,1,5,150,30,2008
Heat: Pedal to the Metal,1,6,60,30,2022
Herd Mentality,4,20,30,20,2020
Here to Slay,2,6,60,30,2020
"Hey, That's My Fish!",2,4,20,20,2003
High Society,3,5,30,15,1995
Hoity Toity,2,5,45,45,1990
Horrified,1,5,60,60,2019
I'm the Boss!,3,6,60,60,1994
ICECOOL,2,4,30,30,2016
Ideology: The War of Ideas,2,5,90,90,2003
Imaginiff,3,8,30,30,1998
Imhotep,2,4,40,40,2016
Imhotep: The Duel,2,2,30,30,2018
Imperial Settlers,1,4,90,45,2014
The Impregnable Fortress,2,2,60,30,2017
Ingenious,1,4,45,30,2004
Ingenious,1,4,45,30,2004
Innovation,2,5,60,20,2010
Intrigue,3,5,45,45,1994
La Isla,2,4,60,30,2014
Isle of Skye: From Chieftain to King,2,5,50,30,2015
Islebound,2,4,120,60,2016
Istanbul,2,5,60,40,2014
Istanbul: The Dice Game,2,4,40,20,2017
Jaipur,2,2,30,30,2009
Jamaica,2,6,60,30,2007
Jump Drive,2,4,30,10,2017
Jungle Speed,2,10,10,10,1997
Jurassic Jumble,3,9,10,10,2004
Just One,3,7,60,20,2018
Kanagawa,2,4,45,45,2016
Karuba,2,4,40,30,2015
Keyflower,2,6,120,90,2012
Kill Doctor Lucky,3,8,45,45,1996
King of Tokyo,2,6,30,30,2011
The King's Guild,1,6,120,60,2018
Kingdomino,2,4,25,15,2016
Kitchen Rush,1,4,45,30,2017
Kites,2,6,10,10,2022
Knarr,2,4,30,30,2023
Kodama: The Tree Spirits,2,5,30,30,2016
Ladies & Gentlemen,4,10,30,30,2013
Lady Alice,3,5,30,30,2012
Lanterns: The Harvest Festival,2,4,30,30,2015
Las Vegas,2,5,30,30,2012
Last Will,2,5,75,45,2011
Lawless Empire,3,5,120,90,2016
Legacy: Gears of Time,2,4,60,60,2012
Legacy: The Testament of Duke de Crecy,1,4,60,60,2013
Legend of Vyas,2,2,0,0,2015
Legendary: A Marvel Deck Building Game,1,5,60,30,2012
Let's Kill!,2,6,20,20,1997
Letters from Whitechapel,2,6,90,90,2011
Level 7 [Omega Protocol],2,6,90,60,2013
Lewis & Clark: The Expedition,1,5,120,120,2013
Libertalia,2,6,60,40,2012
Lift it!,1,8,30,30,2012
Light Speed: Arena,1,4,15,5,2025
Link City,2,6,30,30,2024
Livingstone,2,5,35,35,2009
Lonpos 4D Puzzle Game,1,2,5,5,2000
Loot,2,8,20,20,1992
Lord of the Rings,2,5,20,20,2003
The Lord of the Rings: The Card Game,1,2,60,30,2011
Lords of Scotland,2,5,35,35,2010
Lords of Xidit,3,5,90,90,2014
Lost Cities,2,2,30,30,1999
Lost Legends,3,5,70,70,2013
Lost Ruins of Arnak,1,4,120,30,2020
Love Letter,2,4,20,20,2012
Magic Maze,1,8,15,15,2017
Majesty: For the Realm,2,4,30,20,2017
The Manhattan Project,2,5,120,120,2012
The Manhattan Project: Energy Empire,1,5,120,60,2016
Mansions of Madness,2,5,180,120,2011
Mansions of Madness: Second Edition,1,5,180,120,2016
Martian Dice,2,99,10,10,2011
Mascarade,2,13,30,30,2013
Master of Orion: The Board Game,2,4,60,40,2016
Master of Respect,3,5,60,60,2016
Mastermind,2,2,20,20,1971
Mechs vs. Minions,2,4,120,60,2016
Medieval Academy,2,5,30,30,2014
Medieval Merchant,2,6,90,60,1998
Medina (Second Edition),2,4,60,60,2014
Medium,2,8,45,30,2019
Meeple War,2,4,60,30,2016
Merkator,1,4,90,45,2010
MicroMacro: Crime City,1,4,45,15,2020
The Mines of Zavandor,2,4,90,45,2010
Mission: Red Planet,3,5,60,60,2005
Monopoly Deal Card Game,2,5,15,15,2008
Monster Café,2,4,20,20,2013
Morels,2,2,30,30,2012
Mr. Jack,2,2,30,30,2006
Munchkin Dungeon,2,5,90,60,2020
Mysterium,2,7,42,42,2015
Mysterium Park,2,6,45,30,2020
Mystic Market,2,4,45,30,2019
Mystic Vale,2,4,45,45,2016
Nations,1,5,200,40,2013
Nations: The Dice Game,1,4,40,20,2014
Near and Far,2,4,120,90,2017
New Haven,2,4,60,60,2013
New York 1901,2,4,60,30,2015
New York Slice,2,6,30,30,2017
Nidavellir,2,5,45,45,2020
The Night Cage,1,5,60,40,2021
Night of the Ninja,4,11,30,15,2021
Nimalia,2,4,30,25,2023
No Thanks!,3,7,20,20,2004
No Thanks!,3,7,20,20,2004
Nobody but Us Chickens,3,6,20,20,2003
Not Alone,2,7,45,30,2016
Notre Dame,2,5,75,45,2007
Nuns on the Run,2,8,60,45,2010
Oceanos,2,5,45,30,2016
OddVille,2,4,60,30,2012
Oh My Goods!,2,4,30,30,2015
Old Maid,2,6,5,5,1874
On Tour: Paris and New York,1,8,30,20,2022
Once Upon a Time: The Storytelling Card Game,2,6,30,30,1993
One Night Revolution,3,10,15,15,2015
One Night Ultimate Werewolf,3,10,10,10,2014
Onitama,2,2,20,15,2014
Orleans,2,5,90,90,2014
Outlive,2,4,110,40,2017
Packet Row,2,5,75,45,2013
Paleo,2,4,60,45,2020
Pandemic,2,4,45,45,2008
Pandemic,2,4,45,45,2008
Pandemic: Rapid Response,2,4,20,20,2019
Pandemic: The Cure,2,5,30,30,2014
Parade,2,6,45,45,2007
Party Panda Pirates,2,6,45,30,2024
Pasha,2,5,30,30,2013
Pass the Bomb,2,10,20,20,1994
Patchwork,2,2,30,15,2014
Pathfinder Adventure Card Game: Rise of the Runelords â€“ Base Set,1,4,90,90,2013
Pay Dirt,2,5,90,90,2014
Peloponnes,1,5,45,45,2009
Perudo,2,10,30,15,1800
Phantom Ink,2,8,15,10,2022
Pick-a-Dog,1,5,15,15,2012
Pick-a-Dog,1,5,15,15,2012
The Pillars of the Earth,2,4,120,90,2006
Pioneer Days,2,4,75,45,2017
Pit,3,8,90,30,1903
Planted: A Game of Nature & Nurture,2,5,30,20,2022
Pluckin' Pairs,3,8,50,50,2012
Plunder,2,6,45,30,2013
Point Salad,2,6,30,15,2019
Police Precinct,1,6,90,90,2013
Poo: The Card Game,2,8,15,5,2009
Port Royal,2,5,50,20,2014
Power Grid,2,6,120,120,2004
The Price Is Right,3,5,60,60,1973
Progress: Evolution of Technology,1,5,90,45,2014
Project L,1,4,40,20,2020
Project: ELITE,1,4,30,30,2016
Puerto Rico,3,5,150,90,2002
Pulsar 2849,2,4,90,60,2017
The Pursuit of Happiness,1,4,90,60,2015
